         1426964 function calls (1403659 primitive calls) in 10.839 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      395    0.002    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
      576    0.002    0.000    0.012    0.000 inspect.py:1089(getfullargspec)
      283    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     2451    0.002    0.000    0.005    0.000 transforms.py:1826(transform_affine)
     1812    0.002    0.000    0.003    0.000 numeric.py:2758(geterr)
        2    0.002    0.001    0.105    0.052 _base.py:4328(get_tightbbox)
      744    0.002    0.000    0.013    0.000 artist.py:885(update)
      217    0.002    0.000    0.147    0.001 _base.py:2401(autoscale_view)
    21210    0.002    0.000    0.002    0.000 artist.py:728(get_animated)
      651    0.002    0.000    0.038    0.000 lines.py:596(get_window_extent)
     7610    0.002    0.000    0.017    0.000 numeric.py:469(asarray)
      363    0.002    0.000    0.004    0.000 transforms.py:1965(rotate)
        2    0.002    0.001    0.010    0.005 font_manager.py:1198(_findfont_cached)
     2490    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
      874    0.002    0.000    0.006    0.000 _base.py:3124(_validate_converted_limits)
     2394    0.002    0.000    0.009    0.000 transforms.py:123(invalidate)
     3788    0.002    0.000    0.008    0.000 colors.py:116(_is_nth_color)
       12    0.002    0.000    0.015    0.001 artist.py:1179(_get_setters_and_targets)
     2164    0.002    0.000    0.029    0.000 transforms.py:2433(transform_affine)
       27    0.002    0.000    0.012    0.000 __init__.py:980(_rc_params_in_file)
     1072    0.002    0.000    0.015    0.000 path.py:96(__init__)
5207/4226    0.002    0.000    0.002    0.000 transforms.py:2417(_get_is_affine)
     4178    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
      283    0.002    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:793(get_code)
    12977    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    316/1    0.002    0.000   10.840   10.840 {built-in method builtins.exec}
      612    0.002    0.000    0.029    0.000 gzip.py:438(read)
      376    0.002    0.000    0.004    0.000 colors.py:184(_to_rgba_no_colorcycle)
      217    0.002    0.000    0.040    0.000 _base.py:339(_plot_args)
     2119    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
     3640    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x858cc0}
      901    0.002    0.000    0.002    0.000 contextlib.py:81(__init__)
      675    0.002    0.000    0.078    0.000 artist.py:255(get_tightbbox)
     5988    0.002    0.000    0.002    0.000 {built-in method builtins.abs}
     1824    0.002    0.000    0.003    0.000 inspect.py:2467(__init__)
       62    0.002    0.000    0.002    0.000 shape_base.py:286(hstack)
     2682    0.002    0.000    0.010    0.000 artist.py:61(_stale_axes_callback)
        1    0.002    0.002   10.840   10.840 plot_gtex.py:1(<module>)
       19    0.002    0.000    0.004    0.000 enum.py:135(__new__)
     2247    0.002    0.000    0.005    0.000 __init__.py:1357(_to_unmasked_float_array)
      219    0.002    0.000    0.016    0.000 _base.py:3142(set_xlim)
      473    0.002    0.000    0.004    0.000 path.py:159(_fast_from_codes_and_verts)
     1416    0.002    0.000    0.002    0.000 markers.py:260(__bool__)
     3709    0.002    0.000    0.006    0.000 re.py:170(match)
      340    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap>:882(_find_spec)
       32    0.002    0.000    0.040    0.001 axis.py:1015(_update_ticks)
      674    0.002    0.000    0.002    0.000 font_manager.py:1111(score_weight)
      389    0.002    0.000    0.002    0.000 stride_tricks.py:185(_broadcast_shape)
     2862    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     2381    0.002    0.000    0.004    0.000 transforms.py:2437(transform_non_affine)
 1099/399    0.002    0.000    0.002    0.000 sre_parse.py:174(getwidth)
     1763    0.002    0.000    0.005    0.000 {built-in method builtins.any}
      218    0.002    0.000    0.015    0.000 _base.py:3532(set_ylim)
     1496    0.002    0.000    0.003    0.000 __init__.py:1981(_setattr_cm)
     5842    0.002    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
      674    0.002    0.000    0.002    0.000 font_manager.py:1093(score_stretch)
     5387    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
